-- STATISTICS --

Step: A-3: total number of steps-> 519, mean duration-> 0.49723113s
Step: E-4: total number of steps-> 542, mean duration-> 0.505323s
Step: A-4: total number of steps-> 3, mean duration-> 0.21179879s


-- DETAILED --


Step A-3: @317.46875, 0.3229065s
Step E-4: @317.9896, 0.34375s
Step A-3: @318.53125, 0.3125s
Step E-4: @319.0625, 0.3229065s
Step A-3: @319.59375, 0.2916565s
Step E-4: @320.1146, 0.3229065s
Step A-3: @320.64584, 0.333313s
Step E-4: @321.1875, 0.3229065s
Step A-3: @321.72916, 0.3125s
Step E-4: @322.25, 0.3229065s
Step A-3: @322.77084, 0.3229065s
Step E-4: @323.3125, 0.3125s
Step A-3: @323.84375, 0.3020935s
Step E-4: @324.375, 0.3229065s
Step A-3: @324.89584, 0.333313s
Step E-4: @325.4271, 0.3229065s
Step A-3: @325.95834, 0.3125s
Step E-4: @326.47916, 0.3333435s
Step A-3: @327.0, 0.3125s
Step E-4: @327.5521, 0.3229065s
Step A-3: @328.08334, 0.3125s
Step E-4: @328.6146, 0.3229065s
Step A-3: @329.15625, 0.3020935s
Step E-4: @329.66666, 0.322937s
Step A-3: @330.20834, 0.270813s
Step E-4: @330.71875, 0.3333435s
Step A-3: @331.25, 0.3229065s
Step E-4: @331.78125, 0.34375s
Step A-3: @332.33334, 0.28125s
Step E-4: @332.85416, 0.322937s
Step A-3: @333.375, 0.3333435s
Step E-4: @333.91666, 0.3125s
Step A-3: @334.4375, 0.3125s
Step E-4: @334.96875, 0.3333435s
Step A-3: @335.5104, 0.3333435s
Step E-4: @336.0625, 0.3125s
Step A-3: @336.58334, 0.3229065s
Step E-4: @337.125, 0.3333435s
Step A-3: @337.66666, 0.3125s
Step E-4: @338.1875, 0.3333435s
Step A-3: @338.71875, 0.28125s
Step E-4: @339.2396, 0.3125s
Step A-3: @339.7604, 0.28125s
Step E-4: @340.29166, 0.3125s
Step A-3: @340.8125, 0.3020935s
Step E-4: @341.33334, 0.302063s
Step A-3: @341.8646, 0.302063s
Step E-4: @342.39584, 0.25s
Step A-3: @342.91666, 0.25s
Step E-4: @343.4479, 0.3020935s
Step A-3: @343.97916, 0.28125s
Step E-4: @344.5104, 0.3125s
Step A-3: @345.04166, 0.322937s
Step E-4: @345.58334, 0.302063s
Step A-3: @346.125, 0.3125s
Step E-4: @346.64584, 0.3125s
Step A-3: @347.16666, 0.3125s
Step E-4: @347.70834, 0.2916565s
Step A-3: @348.22916, 0.2708435s
Step E-4: @348.75, 0.3125s
Step A-3: @349.27084, 0.302063s
Step E-4: @349.79166, 0.3125s
Step A-3: @350.3229, 0.3125s
Step E-4: @350.83334, 0.333313s
Step A-3: @351.375, 0.3229065s
Step E-4: @351.89584, 0.3541565s
Step A-3: @352.4479, 0.3020935s
Step E-4: @352.97916, 0.322937s
Step A-3: @353.5, 0.28125s
Step E-4: @354.0104, 0.3333435s
Step A-3: @354.54166, 0.322937s
Step E-4: @355.0729, 0.322937s
Step A-3: @355.59375, 0.34375s
Step E-4: @356.125, 0.3333435s
Step A-3: @356.66666, 0.3125s
Step E-4: @357.20834, 0.25s
Step A-3: @357.70834, 0.333313s
Step E-4: @358.22916, 0.3333435s
Step A-3: @358.7604, 0.34375s
Step E-4: @359.3021, 0.333313s
Step A-3: @359.83334, 0.333313s
Step E-4: @360.3646, 0.333313s
Step A-3: @360.89584, 0.2916565s
Step E-4: @361.4271, 0.302063s
Step A-3: @361.95834, 0.3125s
Step E-4: @362.4896, 0.34375s
Step A-3: @363.0104, 0.34375s
Step E-4: @363.54166, 0.291687s
Step A-3: @364.0521, 0.3541565s
Step E-4: @364.5729, 0.3645935s
Step A-3: @365.125, 0.2916565s
Step E-4: @365.64584, 0.34375s
Step A-3: @366.1771, 0.333313s
Step E-4: @366.70834, 0.34375s
Step A-3: @367.25, 0.34375s
Step E-4: @367.78125, 0.3229065s
Step A-3: @368.3125, 0.3333435s
Step E-4: @368.84375, 0.34375s
Step A-3: @369.3854, 0.3333435s
Step E-4: @369.91666, 0.3020935s
Step A-3: @370.45834, 0.1875s
Step E-4: @370.96875, 0.3333435s
Step A-3: @371.4896, 0.3229065s
Step E-4: @372.02084, 0.3229065s
Step A-3: @372.53125, 0.34375s
Step E-4: @373.0521, 0.333313s
Step A-3: @373.58334, 0.34375s
Step E-4: @374.125, 0.3333435s
Step A-3: @374.64584, 0.3229065s
Step E-4: @375.1771, 0.34375s
Step A-3: @375.72916, 0.3125s
Step E-4: @376.25, 0.3541565s
Step A-3: @376.79166, 0.3333435s
Step E-4: @377.3125, 0.3333435s
Step A-3: @377.84375, 0.3229065s
Step E-4: @378.375, 0.3333435s
Step A-3: @378.90625, 0.3229065s
Step E-4: @379.41666, 0.291687s
Step A-3: @379.9375, 0.3125s
Step E-4: @380.46875, 0.3229065s
Step A-3: @381.0, 0.3125s
Step E-4: @381.52084, 0.333313s
Step A-3: @382.0625, 0.34375s
Step E-4: @382.58334, 0.333313s
Step A-3: @383.1354, 0.3125s
Step E-4: @383.6771, 0.2604065s
Step A-3: @384.1979, 0.322937s
Step E-4: @384.72916, 0.34375s
Step A-3: @385.2604, 0.322937s
Step E-4: @385.8021, 0.3229065s
Step A-3: @386.33334, 0.3125s
Step E-4: @386.8646, 0.364563s
Step A-3: @387.40625, 0.3229065s
Step E-4: @387.9479, 0.322937s
Step A-3: @388.46875, 0.3020935s
Step E-4: @389.0, 0.3333435s
Step A-3: @389.53125, 0.34375s
Step E-4: @390.08334, 0.333313s
Step A-3: @390.6146, 0.3229065s
Step E-4: @391.16666, 0.3125s
Step A-3: @391.6875, 0.34375s
Step E-4: @392.22916, 0.3333435s
Step A-3: @392.77084, 0.3125s
Step E-4: @393.3125, 0.3229065s
Step A-3: @393.84375, 0.3020935s
Step E-4: @394.3646, 0.333313s
Step A-3: @394.90625, 0.3020935s
Step E-4: @395.4375, 0.3125s
Step A-3: @395.95834, 0.333313s
Step E-4: @396.5, 0.34375s
Step A-3: @397.02084, 0.364563s
